county,date,medi_cal,unemployment,calfresh
Alameda,528,340 549,6.5,64394
Alameda,529,349 927,6.4,63674
Alameda,530,365 622,6.4,64297
Alameda,531,373 571,5.5,64208
Alameda,532,378 218,5.6,64582
Alameda,533,381 831,5.9,64635
Alameda,534,385 839,6.3,64020
Alameda,535,389 814,6.1,63835
Alameda,536,393 082,5.5,63346
Alameda,537,396 515,5.4,63146
Alameda,538,399 493,5.3,62544
Alameda,539,408 267,4.9,62620
Alameda,540,417 075,5.3,61869
Alameda,541,418 769,5.1,60825
Alameda,542,419 444,5,61063
Alameda,543,422 488,4.6,61121
Alameda,544,421 856,4.6,61465
Alameda,545,423 922,4.9,62196
Alameda,546,425 013,5.1,62663
Alameda,547,429 357,4.8,62557
Alameda,548,432 134,4.4,62511
Alameda,549,434 830,4.5,62653
Alameda,550,439 836,4.4,62107
Alameda,551,443 416,4.2,61842
Alameda,552,445 324,4.4,61221
Alameda,553,443 372,4.4,61056
Alameda,554,446 065,4.5,61189
Alameda,555,441 010,4.2,61011
Alameda,556,438 953,3.8,61172
Alameda,557,438 222,4.5,61033
Alameda,558,437 360,4.7,60323
Alameda,559,437 878,4.5,60357
Alameda,560,439 613,4.2,60124
Alameda,561,439 407,4.3,59986
Alameda,562,439 064,3.9,59482
Alameda,563,441 488,3.9,59072
Alameda,564,439 934,4.3,58727
Alameda,565,437 440,4,57353
Alameda,566,439 721,3.8,57764
Alameda,567,436 888,3.5,56804
Alameda,568,434 884,3.4,57144
Alameda,569,434 578,3.8,57141
Alameda,570,434 483,4.1,56864
Alameda,571,438 030,4,57382
Alameda,572,437 699,3.4,57189
Alameda,573,437 114,3.3,57502
Alameda,574,435 858,3.1,56882
Alameda,575,438 788,3,56587
Alameda,576,436 852,3.3,56497
Alameda,577,435 330,3.2,55019
Alameda,578,433 610,2.9,55632
Alameda,579,431 826,2.7,55132
Alameda,580,430 028,2.6,55154
Alameda,581,428 875,3.3,55241
Alameda,582,428 026,3.2,54734
Alameda,583,427 256,3.1,54766
Alameda,584,427 309,2.8,54088
Alameda,585,426 653,2.9,54429
Alameda,586,424 388,2.8,53759
Alameda,587,NA,2.8,53319
Alameda,588,NA,0.3,53529
Alameda,590,NA,3.3,51429
Alameda,591,NA,2.7,51134
Alameda,592,NA,2.5,51206
Alameda,593,NA,3.1,58481
Alameda,594,NA,3.3,59750
Alameda,595,NA,3.1,62122
Alameda,596,NA,2.5,63246
Alameda,597,NA,2.6,64496
Alameda,598,NA,2.6,64654
Alameda,599,NA,2.5,65129
Alameda,600,NA,3.1,65302
Alameda,601,NA,3,65156
Alameda,602,NA,3.8,66424
Alameda,603,NA,14.1,76979
Alameda,604,NA,13.5,82572
Alameda,605,NA,13.4,86632
Alameda,606,NA,12,86626
Alameda,607,NA,9.8,86097
Alameda,608,NA,9.3,85083
Alameda,609,NA,7.9,81670
Alameda,610,NA,6.7,78468
Alameda,611,NA,7.6,78156
Alpine,528,301,7.7,109
Alpine,529,312,8.5,111
Alpine,530,326,8.6,118
Alpine,531,332,7.7,111
Alpine,532,348,10.1,111
Alpine,533,357,10.2,117
Alpine,534,373,8.7,114
Alpine,535,374,8.5,111
Alpine,536,368,7.4,114
Alpine,537,370,7.5,114
Alpine,538,370,7.5,106
Alpine,539,374,5.8,107
Alpine,540,384,6.6,107
Alpine,541,385,6.8,102
Alpine,542,377,7.5,99
Alpine,543,358,7.2,102
Alpine,544,358,8.3,101
Alpine,545,356,8.8,101
Alpine,546,361,8.3,101
Alpine,547,362,7.4,99
Alpine,548,360,7.5,98
Alpine,549,362,7.9,98
Alpine,550,359,6.9,100
Alpine,551,354,5.6,98
Alpine,552,358,5.3,99
Alpine,553,357,5.1,97
Alpine,554,358,5.6,97
Alpine,555,362,5.7,92
Alpine,556,350,8,87
Alpine,557,347,7.6,91
Alpine,558,352,7.5,93
Alpine,559,346,7.3,89
Alpine,560,336,7.3,90
Alpine,561,328,7.2,88
Alpine,562,339,7.2,90
Alpine,563,349,4.8,90
Alpine,564,347,5.4,86
Alpine,565,342,5.4,85
Alpine,566,340,5.5,87
Alpine,567,343,4.8,84
Alpine,568,329,7.5,79
Alpine,569,323,8.7,79
Alpine,570,316,7.8,76
Alpine,571,323,7.1,78
Alpine,572,330,6.6,76
Alpine,573,329,6.4,79
Alpine,574,332,5.8,81
Alpine,575,330,4.6,77
Alpine,576,327,4.9,79
Alpine,577,324,4.2,79
Alpine,578,323,3.9,80
Alpine,579,319,3.4,76
Alpine,580,319,5.1,80
Alpine,581,317,6.1,78
Alpine,582,320,6.3,72
Alpine,583,305,5.3,69
Alpine,584,308,4.9,67
Alpine,585,313,5,73
Alpine,586,311,3.8,72
Alpine,587,NA,3.3,70
Alpine,588,NA,4.7,70
Alpine,590,NA,5.1,70
Alpine,591,NA,4,73
Alpine,592,NA,6,71
Alpine,593,NA,7.4,78
Alpine,594,NA,7.2,79
Alpine,595,NA,5.7,79
Alpine,596,NA,4.6,74
Alpine,597,NA,5.2,72
Alpine,598,NA,4.7,70
Alpine,599,NA,3.8,74
Alpine,600,NA,4.6,77
Alpine,601,NA,5,69
Alpine,602,NA,7.1,72
Alpine,603,NA,22.1,86
Alpine,604,NA,22.2,92
Alpine,605,NA,19.6,79
Alpine,606,NA,14.1,73
